Gene name,Gene ID,Expression level
snf-3,WBGene00004902,1505.947
F41G4.8,WBGene00018311,1502.155
sec-61.A,WBGene00013311,1493.097
F07H5.5,WBGene00014309,1489.723
rps-5,WBGene00004474,1482.226
C37A2.7,WBGene00016493,1476.707
rpl-24.1,WBGene00004436,1476.536
rpl-18,WBGene00004430,1473.425
egl-30,WBGene00001196,1471.626
rps-29,WBGene00004498,1469.192
eef-1A.2,WBGene00001169,1448.677
M03A1.8,WBGene00077490,1437.617
rps-24,WBGene00004493,1436.779
C18E9.2,WBGene00007683,1435.952
rps-26,WBGene00004495,1435.667
rpl-19,WBGene00004431,1429.438
rpl-1,WBGene00004412,1399.222
rpl-11.2,WBGene00004423,1395.853
rpl-16,WBGene00004428,1386.482
enol-1,WBGene00011884,1385.529
rps-0,WBGene00004469,1384.034
rpl-6,WBGene00004417,1383.685
rps-27,WBGene00004496,1382.792
rps-18,WBGene00004487,1375.624
rpl-39,WBGene00004453,1366.402
rla-0,WBGene00004408,1364.058
nduo-1,WBGene00010959,1357.485
xbp-1,WBGene00006959,1356.155
rpl-15,WBGene00004427,1348.552
cyc-2.1,WBGene00017121,1330.761
C02D5.4,WBGene00043097,1328.542
C30E1.9,WBGene00022951,1322.288
rpl-21,WBGene00004433,1318.838
rpl-4,WBGene00004415,1283.178
rpl-36,WBGene00004450,1278.879
rps-10,WBGene00004479,1278.575
tbb-2,WBGene00006537,1261.368
rpl-35,WBGene00004449,1252.053
rps-15,WBGene00004484,1251.868
rpl-36.A,WBGene00004454,1251.15
rps-3,WBGene00004472,1243.726
rpl-20,WBGene00004432,1243.378
kin-2,WBGene00002190,1236.654
ubc-22,WBGene00006717,1234.503
rpl-26,WBGene00004440,1223.175
nduo-4,WBGene00010963,1219.392
rps-30,WBGene00004499,1218.591
rps-19,WBGene00004488,1216.223
iff-2,WBGene00002065,1212.555
rpl-31,WBGene00004445,1208.205
rpl-7,WBGene00004418,1208.1
rps-12,WBGene00004481,1200.531
ctg-1,WBGene00010370,1178.175
rpl-22,WBGene00004434,1176.975
rpl-43,WBGene00004456,1163.127
rpl-9,WBGene00004420,1128.313
rpl-5,WBGene00004416,1121.739
rpl-23,WBGene00004435,1103.478
ubl-1,WBGene00006725,1097.414
rack-1,WBGene00010556,1096.807
T05A1.5,WBGene00011456,1089.117
enpl-1,WBGene00011480,1087.527
rps-13,WBGene00004482,1087.114
flp-10,WBGene00001453,1084.292
kin-1,WBGene00002189,1077.951
inx-13,WBGene00002135,1074.168
ZC449.7,WBGene00045365,1071.887
rpl-33,WBGene00004447,1069.57
rps-17,WBGene00004486,1066.269
cal-5,WBGene00006861,1063.632
rpl-34,WBGene00004448,1061.073
gdi-1,WBGene00001558,1053.444
pfd-6,WBGene00009004,1048.774
pab-2,WBGene00003903,1016.987
rps-28,WBGene00004497,1006.078
rla-2,WBGene00004410,991.081
T28F4.5,WBGene00012140,984.348
idh-1,WBGene00010317,975.51
unc-69,WBGene00006802,970.876
rps-22,WBGene00004491,965.647
rps-6,WBGene00004475,950.47
rps-2,WBGene00004471,950.128
T04B2.3,WBGene00011422,938.906
cyn-7,WBGene00000883,936.838
Y44E3A.1,WBGene00021547,918.305
rpl-14,WBGene00004426,909.152
W05H9.3,WBGene00021050,908.052
F27C8.3,WBGene00009184,903.019
W01D2.1,WBGene00012179,898.244
rps-21,WBGene00004490,896.905
pks-1,WBGene00016558,894.493
nep-11,WBGene00017557,893.218
add-1,WBGene00000072,885.099
inx-12,WBGene00002134,870.815
C52B9.8,WBGene00016868,856.892
nlp-64,WBGene00019734,854.879
hsp-1,WBGene00002005,833.498
C17G1.5,WBGene00007652,831.203
cct-5,WBGene00000380,828.229
tba-1,WBGene00006528,828.057
hrp-1,WBGene00001999,826.082
swt-1,WBGene00019300,825.53
rpl-30,WBGene00004444,815.603
pak-1,WBGene00003911,796.865
ace-3,WBGene00000037,792.257
ndfl-4,WBGene00010958,767.226
cyn-5,WBGene00000881,759.989
rpl-29,WBGene00004443,753.532
skr-1,WBGene00004807,736.451
lin-15A,WBGene00023498,726.677
nlp-15,WBGene00003753,723.941
T05E11.9,WBGene00014505,714.204
gcy-28,WBGene00020131,712.576
acy-2,WBGene00000069,706.207
tba-2,WBGene00006529,705.321
prdx-2,WBGene00006434,701.37
acs-19,WBGene00007969,700.784
crt-1,WBGene00000802,700.606
par-5,WBGene00003920,693.721
C03F11.4,WBGene00015390,691.731
nrfl-1,WBGene00006438,691.012
F49C12.11,WBGene00009880,687.528
rpl-28,WBGene00004442,686.102
H09G03.1,WBGene00019174,683.096
dli-1,WBGene00001007,669.168
icd-1,WBGene00002045,666.435
H23N18.6,WBGene00044534,660.379
K07E3.4,WBGene00019492,655.27
F46H5.2,WBGene00018518,649.125
zip-2,WBGene00019327,646.428
pept-3,WBGene00003878,643.406
ZC449.5,WBGene00022615,640.492
mab-20,WBGene00003111,634.26
fah-1,WBGene00019620,633.898
mdl-1,WBGene00003163,632.897
K10B2.4,WBGene00019607,630.453
C34B2.11,WBGene00016396,630.251
ZK666.14,WBGene00194952,628.369
T12G3.4,WBGene00011739,623.975
nuo-3,WBGene00013308,622.849
tos-1,WBGene00019466,613.635
pbs-5,WBGene00003951,608.473
T22F7.4,WBGene00020703,602.2
nduo-2,WBGene00010961,601.919
lido-8,WBGene00019511,601.359
ftt-2,WBGene00001502,587.439
tpa-1,WBGene00006599,575.075
vps-25,WBGene00012193,563.274
aldo-2,WBGene00017166,559.673
pcbd-1,WBGene00020397,556.662
cytb-5.2,WBGene00020931,544.908
cope-1,WBGene00009732,543.26
ola-1,WBGene00012344,540.369
mec-4,WBGene00003168,538.594
linc-7,WBGene00219609,537.233
gpd-3,WBGene00001685,534.992
lep-5,WBGene00010424,528.319
hmg-1.2,WBGene00001972,521.261
srh-90,WBGene00005311,519.241
vha-2,WBGene00006911,517.682
rpl-25.2,WBGene00004439,517.245
lido-9,WBGene00016576,517.118
tig-2,WBGene00006570,512.519
pqn-44,WBGene00004131,509.873
ncap-1,WBGene00022453,509.223
gpc-2,WBGene00001682,508.541
lgg-1,WBGene00002980,508.387
T04G9.4,WBGene00020215,505.866
mig-22,WBGene00003253,500.027
M176.5,WBGene00010944,498.932
unc-14,WBGene00006753,496.33
F18A11.3,WBGene00008930,495.356
sqv-7,WBGene00005025,491.567
Y82E9BR.3,WBGene00022336,488.445
lec-4,WBGene00002267,487.439
soc-2,WBGene00004929,485.872
aakg-5,WBGene00011276,480.209
ret-1,WBGene00004336,478.914
unc-76,WBGene00006808,478.113
ZC443.4,WBGene00013899,477.071
pfd-3,WBGene00006889,472.37
fkb-2,WBGene00001427,471.367
lin-15B,WBGene00023497,470.974
C25E10.12,WBGene00016101,470.053
gsa-1,WBGene00001745,469.776
nduo-5,WBGene00010967,466.635
lbp-9,WBGene00021486,465.903
goa-1,WBGene00001648,462.677
crn-7,WBGene00007056,462.248
F48E3.2,WBGene00018603,458.799
F08C6.5,WBGene00017243,457.254
sgn-1,WBGene00004790,456.846
icd-2,WBGene00022042,455.905
cdr-4,WBGene00010470,454.659
pdi-3,WBGene00003964,449.994
R11H6.2,WBGene00011250,446.547
F44E5.1,WBGene00009688,442.687
frpr-12,WBGene00019445,436.425
fat-1,WBGene00001393,430.991
R03E9.2,WBGene00019843,429.838
twf-2,WBGene00018187,429.773
MTCE.7,WBGene00014454,425.836
T27C4.1,WBGene00020854,425.451
F49E2.5,WBGene00009888,416.847
spcs-1,WBGene00016395,415.208
his-35,WBGene00001909,408.225
pdi-1,WBGene00003962,407.118
ubq-1,WBGene00006727,407.086
arf-1.2,WBGene00000182,404.51
vps-20,WBGene00022027,404.017
Y71H2AM.10,WBGene00022175,403.173
hsp-3,WBGene00002007,402.497
C17H11.6,WBGene00015926,400.453
C44B11.6,WBGene00016635,398.209
F18C5.10,WBGene00017563,397.276
C47E8.4,WBGene00008143,395.607
fubl-1,WBGene00007534,394.983
oaz-1,WBGene00022748,393.545
rpn-7,WBGene00004463,387.318
F19F10.9,WBGene00017605,382.346
mvk-1,WBGene00021534,379.103
vig-1,WBGene00006924,378.557
C43H6.3,WBGene00016616,377.175
tbc-7,WBGene00016292,376.333
copd-1,WBGene00015734,372.692
T04C9.1,WBGene00020209,372.473
pdi-6,WBGene00015168,372.243
nex-1,WBGene00003588,368.293
lea-1,WBGene00002263,365.935
rbx-2,WBGene00019993,363.287
W04G3.5,WBGene00012258,361.25
rpl-37,WBGene00004451,360.25
cnx-1,WBGene00000567,358.165
F49E8.6,WBGene00018637,355.877
cct-1,WBGene00000377,354.102
cct-7,WBGene00020391,352.124
pgal-1,WBGene00017671,351.909
F13E6.1,WBGene00008745,351.863
cct-4,WBGene00000379,351.558
Y41E3.8,WBGene00012766,350.01
cnb-1,WBGene00000554,346.993
vha-10,WBGene00006919,344.004
T25B9.9,WBGene00012015,343.725
kdp-1,WBGene00013463,343.373
rsp-2,WBGene00004699,342.982
nep-1,WBGene00013926,340.33
egl-4,WBGene00001173,339.719
R02F2.1,WBGene00019831,339.572
R13H4.5,WBGene00011263,335.415
gpb-1,WBGene00001679,329.584
F47B8.2,WBGene00009803,326.5
cey-1,WBGene00000472,325.583
pan-1,WBGene00003915,324.939
K11D9.3,WBGene00010772,324.253
ceh-10,WBGene00000435,320.757
snt-4,WBGene00004924,319.164
unc-108,WBGene00006833,318.233
ZK686.3,WBGene00022793,316.59
K02E2.11,WBGene00185118,315.76
W04G3.17,WBGene00215616,315.112
eri-12,WBGene00007091,314.838
C50F4.6,WBGene00001910,314.585
lst-6,WBGene00016889,312.563
let-70,WBGene00002344,310.584
F01G4.6,WBGene00008505,310.572
atp-2,WBGene00000229,310.101
tbb-1,WBGene00006536,308.931
polq-1,WBGene00020964,308.558
lgc-43,WBGene00008076,308.483
sid-5,WBGene00017445,307.852
perm-3,WBGene00022776,306.005
Y41D4A.4,WBGene00021506,304.08
ath-1,WBGene00010564,303.714
spcs-3,WBGene00019679,301.757
pmp-3,WBGene00004060,301.638
sca-1,WBGene00004736,300.932
nbet-1,WBGene00043064,300.928
inf-1,WBGene00002083,297.357
lec-1,WBGene00002264,295.934
erd-2.1,WBGene00001331,295.352
sec-11,WBGene00021844,295.071
F19G12.2,WBGene00017610,294.265
T23G7.3,WBGene00011966,292.089
pfd-2,WBGene00019220,286.926
hsp-110,WBGene00016250,285.998
srv-1,WBGene00005712,284.643
fox-1,WBGene00001484,283.096
F54A3.5,WBGene00018784,280.97
maph-1.1,WBGene00009306,279.888
ucr-11,WBGene00019007,278.413
hmg-1.1,WBGene00001971,275.963
pll-1,WBGene00004045,275.581
Y46G5A.7,WBGene00012899,271.856
K04C2.7,WBGene00044311,270.53
unc-129,WBGene00006852,268.454
dyrb-1,WBGene00012004,267.56
rpn-10,WBGene00004466,267.043
lin-42,WBGene00018572,266.953
soap-1,WBGene00015743,266.56
H28G03.2,WBGene00019250,265.356
unc-115,WBGene00006839,264.907
ddx-17,WBGene00010260,264.358
metl-9,WBGene00020199,263.858
pfn-2,WBGene00003990,263.855
F59C6.5,WBGene00010326,263.523
gsp-1,WBGene00001747,262.151
tads-1,WBGene00007217,261.755
jkk-1,WBGene00002177,261.574
rab-11.1,WBGene00004274,259.461
his-72,WBGene00001946,257.182
rab-1,WBGene00004266,256.142
F47G4.4,WBGene00009825,255.999
F54C8.4,WBGene00010037,255.904
T20B12.7,WBGene00020604,255.176
R102.2,WBGene00011289,254.844
F47B7.1,WBGene00018532,254.341
K07F5.15,WBGene00010639,253.757
cyk-1,WBGene00000872,253.189
ldp-1,WBGene00017719,252.26
npr-3,WBGene00007006,251.551
gpd-2,WBGene00001684,251.33
ceeh-1,WBGene00019329,250.668
crld-1,WBGene00008624,250.046
T03F6.4,WBGene00011400,250.026
nap-1,WBGene00017075,249.724
calu-1,WBGene00019760,249.694
R07D5.2,WBGene00011101,249.488
B0563.6,WBGene00015263,247.033
exc-5,WBGene00001366,246.752
mlp-1,WBGene00003375,246.677
nmat-1,WBGene00012295,246.638
Y39E4B.6,WBGene00012717,245.954
C41A3.2,WBGene00016559,244.776
Y82E9BR.14,WBGene00022347,243.268
linc-41,WBGene00219689,243.149
Y95B8A.6,WBGene00022386,242.771
F43G6.8,WBGene00009660,242.724
ipgm-1,WBGene00019001,242.491
pas-1,WBGene00003922,242.219
W05F2.7,WBGene00021039,242.146
dif-1,WBGene00000996,241.924
dss-1,WBGene00022492,240.216
ran-1,WBGene00004302,239.873
T21B10.3,WBGene00011885,239.824
B0395.3,WBGene00007175,238.706
pept-2,WBGene00003876,238.674
rig-6,WBGene00016354,238.125
pqn-53,WBGene00004138,237.887
frm-10,WBGene00001496,237.826
gdh-1,WBGene00014095,237.648
Y94H6A.8,WBGene00022380,237.286
slc-17.1,WBGene00022647,236.9
T25G12.3,WBGene00020811,236.029
cmd-1,WBGene00000552,235.551
pyk-1,WBGene00009126,235.187
cct-6,WBGene00000381,234.829
Y73B3A.18,WBGene00022219,234.763
emc-2,WBGene00021973,234.699
abcf-2,WBGene00012097,234.342
C16A3.5,WBGene00015810,234.029
W09D10.5,WBGene00012363,233.773
eif-3.K,WBGene00001233,233.004
endu-1,WBGene00010488,232.388
mcp-1,WBGene00015678,232.367
T20F10.2,WBGene00011864,232.316
flp-27,WBGene00016114,232.123
rab-10,WBGene00004273,231.27
cap-2,WBGene00000293,231.016
C35D10.1,WBGene00016439,230.065
T24H7.2,WBGene00020781,230.04
MTCE.33,WBGene00014472,229.667
pfn-1,WBGene00003989,228.983
daf-41,WBGene00022599,228.745
bus-18,WBGene00044631,227.967
bam-2,WBGene00000237,227.046
eef-1B.2,WBGene00012768,226.936
aip-1,WBGene00000097,226.72
xbx-6,WBGene00009580,224.31
C08G5.6,WBGene00015618,224.175
lfi-1,WBGene00022500,223.246
F53E2.2,WBGene00302980,223.101
guk-1,WBGene00020190,221.461
emc-3,WBGene00013378,220.176
casy-1,WBGene00000403,219.761
mdt-22,WBGene00007022,218.655
C27F2.9,WBGene00043156,218.217
bath-38,WBGene00009945,216.949
mag-1,WBGene00003123,216.74
F49C12.9,WBGene00009878,216.279
K02E2.6,WBGene00010507,214.814
ZK632.9,WBGene00014016,214.59
sti-1,WBGene00019983,214.126
cat-1,WBGene00000295,213.327
mdt-9,WBGene00014938,212.174
pigx-1,WBGene00018634,211.611
apm-3,WBGene00000164,210.996
T01C8.2,WBGene00020143,210.83
atp-3,WBGene00000230,210.461
ceh-30,WBGene00000451,210.146
cox-5B,WBGene00000371,209.179
K10C8.4,WBGene00010737,208.841
R10E4.1,WBGene00011198,208.235
ric-19,WBGene00004368,207.193
dlc-1,WBGene00001005,206.283
F53C11.5,WBGene00009975,205.937
pdf-1,WBGene00020317,205.393
Y105C5B.20,WBGene00013659,204.187
snrp-40.1,WBGene00008586,203.485
met-1,WBGene00016603,203.097
myrf-1,WBGene00004134,202.601
fat-3,WBGene00001395,202.363
unc-43,WBGene00006779,202.318
pbs-7,WBGene00003953,201.114
gen-1,WBGene00020442,200.848
unc-52,WBGene00006787,200.797
pqn-59,WBGene00004143,200.418
C37A2.8,WBGene00016494,200.372
pezo-1,WBGene00007505,200.14
T26E3.4,WBGene00012037,199.835
mca-3,WBGene00003153,199.774
eif-1,WBGene00020868,199.493
rab-7,WBGene00004271,198.886
acs-4,WBGene00018152,198.084
vha-20,WBGene00010993,197.895
dnc-3,WBGene00021149,197.852
tkr-2,WBGene00016761,197.801
rars-1,WBGene00004679,197.71
Y44A6D.2,WBGene00012853,197.49
E01A2.5,WBGene00017087,197.011
tpi-1,WBGene00006601,196.671
ostb-1,WBGene00011638,196.375
F45H10.2,WBGene00009739,195.974
B0416.5,WBGene00015181,195.124
oxy-5,WBGene00045483,194.854
xrep-4,WBGene00018509,194.332
lido-11,WBGene00016574,194.314
plp-1,WBGene00004046,193.97
T04F8.3,WBGene00011442,193.541
dars-1,WBGene00001094,193.373
acbp-7,WBGene00044603,193.349
sto-4,WBGene00006066,193.344
art-1,WBGene00000198,192.713
zig-8,WBGene00006985,192.446
frm-1,WBGene00001488,192.198
C14B1.3,WBGene00007574,191.863
drap-1,WBGene00009584,191.24
dnj-13,WBGene00001031,191.122
T02C5.1,WBGene00020158,190.648
pno-1,WBGene00013144,190.588
gspd-1,WBGene00007108,190.436
pod-2,WBGene00004076,190.344
F49A5.10,WBGene00044195,190.235
fndc-1,WBGene00011528,189.876
ccdc-149,WBGene00009258,189.185
ahcy-1,WBGene00019322,188.731
fust-1,WBGene00016173,188.531
Y74C10AL.2,WBGene00022280,187.097
gly-4,WBGene00001629,186.523
mtch-1,WBGene00018395,186.24
nrps-1,WBGene00013440,185.033
ruvb-1,WBGene00007784,184.51
arf-3,WBGene00000183,184.309
K08D12.3,WBGene00019537,184.121
kin-4,WBGene00002192,183.894
F44G4.2,WBGene00009712,183.808
gly-12,WBGene00001637,183.556
adss-1,WBGene00016509,182.216
tgn-38,WBGene00011742,181.91
nhr-133,WBGene00003723,181.828
C49H3.3,WBGene00016790,181.707
lsm-3,WBGene00003077,181.628
R04F11.2,WBGene00011015,181.599
ech-7,WBGene00001156,181.527
C07G1.15,WBGene00235296,181.378
Y54E5A.2,WBGene00013198,181.103
ZK637.14,WBGene00014031,181.049
ribo-1,WBGene00020683,180.905
F40E3.5,WBGene00018232,180.899
hel-1,WBGene00001840,180.654
vha-17,WBGene00009882,180.302
F38B7.3,WBGene00009534,179.782
nepr-1,WBGene00011828,179.442
nab-1,WBGene00003516,179.296
glb-31,WBGene00021972,179.216
ebp-1,WBGene00013344,178.848
fbxb-35,WBGene00017208,178.536
hpo-28,WBGene00015148,178.388
R107.5,WBGene00011300,177.993
eif-3.C,WBGene00001226,177.379
VM106R.1,WBGene00014848,176.477
swsn-9,WBGene00007256,175.994
srp-7,WBGene00005648,175.472
kin-10,WBGene00002196,175.33
vdac-1,WBGene00019900,175.268
mecr-1,WBGene00012375,175.185
lsm-5,WBGene00003079,175.167
eat-16,WBGene00001145,175.142
yars-1,WBGene00013677,175.122
fbxa-24,WBGene00018803,174.478
nep-26,WBGene00014171,174.377
sqv-5,WBGene00005023,174.166
manf-1,WBGene00021888,173.677
T28D9.1,WBGene00020894,173.549
F37C12.3,WBGene00018151,173.454
cif-1,WBGene00019543,173.197
try-1,WBGene00006619,173.105
frm-8,WBGene00001494,172.286
cyn-3,WBGene00000879,171.895
fib-1,WBGene00001423,171.453
F17C11.11,WBGene00008922,171.427
F47B8.3,WBGene00009804,171.009
cts-1,WBGene00000833,170.941
ZK1320.11,WBGene00014259,170.903
his-24,WBGene00001898,170.767
myrf-2,WBGene00008999,170.742
M57.2,WBGene00019778,170.606
cah-2,WBGene00000280,170.411
F23A7.4,WBGene00009069,170.229
F32D8.14,WBGene00009336,169.96
fkb-1,WBGene00001426,169.893
C32D5.8,WBGene00016316,169.81
pbs-4,WBGene00003950,168.994
tmed-10,WBGene00009829,168.183
F31E9.11,WBGene00195233,167.692
trx-4,WBGene00021548,167.554
sec-61.G,WBGene00001303,167.045
apl-1,WBGene00000149,166.92
paa-1,WBGene00003901,166.896
C42D4.18,WBGene00206380,166.837
spc-1,WBGene00004951,166.125
Y46H3C.7,WBGene00021607,165.934
wdr-23,WBGene00008419,165.678
nhr-97,WBGene00003687,165.323
cox-6B,WBGene00022170,164.975
rbm-39,WBGene00021921,164.862
cap-1,WBGene00000292,164.106
unc-94,WBGene00006823,164.06
act-3,WBGene00000065,164.055
sao-1,WBGene00011195,163.782
acbp-1,WBGene00016655,163.642
ddr-2,WBGene00017381,163.487
C02F5.3,WBGene00015346,163.026
cox-5A,WBGene00012553,162.792
mdt-26,WBGene00016115,162.234
eif-2gamma,WBGene00021466,161.977
gtf-2E2,WBGene00010054,161.826
stt-3,WBGene00020437,161.416
pfd-4,WBGene00007107,161.31
pam-1,WBGene00003914,161.093
T23D8.3,WBGene00011944,161.037
micu-1,WBGene00013462,160.881
T23B7.3,WBGene00044767,160.471
F56A8.3,WBGene00010139,159.723
cct-2,WBGene00000378,159.26
lsy-12,WBGene00045419,158.97
ccar-1,WBGene00003085,158.747
map-2,WBGene00003130,158.622
M03A1.3,WBGene00019746,158.441
Y55F3AM.9,WBGene00021926,158.152
rnr-2,WBGene00004392,157.709
gtbp-1,WBGene00010677,156.734
rpn-11,WBGene00004467,156.272
ttx-7,WBGene00008765,155.845
vps-45,WBGene00016643,154.991
tmem-258,WBGene00021960,154.938
golg-2,WBGene00018017,154.821
pqn-51,WBGene00004136,154.725
atp-4,WBGene00020275,154.376
mig-14,WBGene00003246,154.34
T07A9.15,WBGene00045249,154.324
pas-2,WBGene00003923,154.283
ubc-14,WBGene00006709,153.856
Y59H11AR.6,WBGene00077437,153.52
flp-2,WBGene00001445,153.318
chs-1,WBGene00000496,152.747
cebp-2,WBGene00016754,152.745
F37C4.5,WBGene00018145,152.595
Y57A10A.26,WBGene00013266,152.486
grsp-2,WBGene00012118,152.073
C49G7.10,WBGene00016788,151.85
Y54G2A.26,WBGene00021890,151.773
catp-8,WBGene00007514,151.667
tbc-16,WBGene00018639,151.112
unc-51,WBGene00006786,151.109
R53.4,WBGene00011273,151.079
clic-1,WBGene00020246,150.991
prcc-1,WBGene00008034,150.636
B0379.1,WBGene00007155,150.501
dnj-19,WBGene00001037,150.412
lgc-33,WBGene00021941,150.359
snb-1,WBGene00004897,150.287
R03H10.11,WBGene00271824,149.77
K02A6.3,WBGene00019294,148.709
nhx-5,WBGene00003733,148.702
nduo-3,WBGene00010966,148.455
fum-1,WBGene00001503,148.241
cogc-6,WBGene00019481,148.038
eif-3.F,WBGene00001229,147.559
unc-32,WBGene00006768,147.293
hlh-31,WBGene00009540,147.278
nra-4,WBGene00015344,146.991
H40L08.1,WBGene00010433,146.704
sucl-1,WBGene00007350,146.476
ser-2,WBGene00004777,146.361
din-1,WBGene00008549,146.136
unc-44,WBGene00006780,145.806
tram-1,WBGene00007696,145.499
hsp-4,WBGene00002008,145.323
T24H10.4,WBGene00012002,145.114
cox-4,WBGene00012354,144.84
Y105E8A.3,Y105E8A.3,144.741
Y34B4A.4,WBGene00021320,144.638
C11D2.7,WBGene00015703,144.403
F11C1.7,WBGene00045495,144.264
hmr-1,WBGene00001980,144.094
uba-1,WBGene00006699,143.86
tald-1,WBGene00021286,143.808
F53A10.2,WBGene00018734,143.753
Y37E3.17,WBGene00021355,143.661
T02G5.7,WBGene00020166,143.621
B0198.3,WBGene00007116,143.477
pkg-2,WBGene00015650,143.218
mbf-1,WBGene00003148,142.82
F22F4.4,WBGene00017717,142.738
T27E9.2,WBGene00012094,142.709
F49C12.12,WBGene00009881,142.652
lgx-1,WBGene00002983,142.006
rab-6.2,WBGene00004270,141.986
act-2,WBGene00000064,141.525
C28H8.3,WBGene00016194,141.483
ZK909.3,WBGene00014148,141.407
cey-4,WBGene00000475,141.12
F20D1.1,WBGene00008973,140.742
F23H11.5,WBGene00000263,140.605
rho-1,WBGene00004357,140.453
ife-1,WBGene00002059,140.385
gtf-2A2,WBGene00013736,140.166
ncbp-1,WBGene00018156,139.657
vab-8,WBGene00006874,139.596
utx-1,WBGene00017046,139.544
T02E9.5,WBGene00011383,139.426
serp-1.1,WBGene00010337,139.394
E01G4.3,WBGene00008446,139.271
frpr-18,WBGene00020586,139.145
ZK154.4,WBGene00022666,139.043
kin-3,WBGene00002191,138.959
dad-1,WBGene00000896,138.831
C41G7.9,WBGene00077771,138.817
Y69A2AR.18,WBGene00022089,138.733
C16A3.4,WBGene00015809,138.465
ins-26,WBGene00002109,138.227
nog-1,WBGene00020297,137.873
kin-29,WBGene00002210,137.786
pqn-87,WBGene00004167,137.058
rnp-7,WBGene00004390,137
klc-2,WBGene00002215,136.762
R05H11.2,WBGene00019908,136.657
cab-1,WBGene00000277,136.498
sto-1,WBGene00006063,136.409
trap-4,WBGene00013238,136.222
ostd-1,WBGene00019693,136.037
Y71H2AM.4,WBGene00022169,135.848
R05G6.10,WBGene00019902,135.751
F37A4.1,WBGene00018131,135.385
C47E8.11,WBGene00044180,135.28
arp-1,WBGene00013168,135.222
cdk-11.1,WBGene00015203,135.061
